#	THĂNG
$	ĐỒNG
MYMENSINGH	MY MEN XIN GƠ
MYRDAL	MI RƠ ĐAN
MYSPACE	MAI XỜ BÂY
MZUZU	MƠ GIU GIU
N	NỜ
NABOPOLASSAR	NA BÔ BÔ LÁT XA
NABUCHADNEZZAN	NA BU CHÁT NÊ GIAN
NABUCHODONOSOR	NA BU SÔ ĐÔ NÔ SÔ
NADAL	NA ĐAN
NADAR	NA ĐA
NADI	NA ĐI
NAGASAKI	NA GA XA CI
NAGEL	NA GHEN
NAGELI	NA GHE LI
NAGIS	NA GÍT
NAGORNYJ	NA GOÓC NƯI
NAGOYA	NA GÔ GIA
NAGUMO	NA GU MÔ
NAGY	NA GI
NAHA	NA HA
NAIL	NEO
NAILS	NEO
NAIROBI	NAI RÔ BI
NAJIBULLAH	NA GI BU LA
NAKASONE	NA CA XÔ NÊ
NAKATA	NA CA TA
NAKHITCHEVAN	NA KHI CHÊ VAN
NAKHODKA	NA KHỐT CA
NAKHON	NA KHON
NAKTONG	NÁC TÔNG
NAKURU	NA CU RU
NALKOWSKA	NAN CỐP XỜ KA
NAMANGAN	NA MAN GAN
NAMARA	NA MA RA
NAME	NÊM
NAMIBE	NA MI BƠ
NAMIBIA	NA MI BI A
NANCY	NEN XI
NANI	NA NI
NANJING	NAN GING
NANTES	NĂNG TƠ
NAOMI	NAO MI
NAPIER	NÊ BE
NAPLES	NÁP LƠ
NAPOLEON	NA BÔ LÊ ÔNG
NAPOLI	NA BÔ LI
NAPRAVNIK	NA PHỜ RÁP NÍCH
NARBADA	NÁC BA ĐA
NARMADA	NA MA ĐA
NARVA	NÁC VA
NARVIK	NA RƠ VÍCH
NARYN	NA RƯN
NASA	NA SA
NASAN	NA XAN
NASEBY	NÂY SƠ BI
NASRALLAH	NÁT RA LA
NASSAU	NÁT XÔ
NASSER	NÁT XƠ
NATALIA	NA TA LI A
NATALIE	NA TA LI
NATASA	NA TA XA
NATASCHA	NA TA SA
NATASHA	NA TA XA
NATEVILLE	NA TƠ VIN
NATION	NÂY SẦN
NATIONAL	NÂY SẦN NÔ
NATO	NA TÔ
NATORP	NA TOÓC BƠ
NATSAGDORJ	NÁT XA ĐÔ RI
NATSUME	NÁT XƯ MÊ
NATTA	NÁT TA
NATTIER	NA TI Ê
NATURE	NÂY TRƠ
NAUR	NAO RƠ
NAURU	NAU RU
NAUY	NA UY
NAVARRE	NA VA
NAVARRO	NA VA RÔ
NAVIER	NA VI Ê
NAVN	NHIẾP ẢNH VIỆT NAM
NAZIM	NA GIM
NAZRET	NA GIƠ RÉT
NB	NHẬT BẢN
NBCT	NỖI BUỒN CHIẾN TRANH
NBH	NÓN BẢO HIỂM
NBK	NGUYỄN BỈNH KHIÊM
NBVN	NHÀ BÁO VIỆT NAM
NBX	NGƯỜI BÌNH XUYÊN
NCCB	NGHIÊN CỨU CƠ BẢN
NCCDV	NHÀ CUNG CẤP DỊCH VỤ
NCCL	NÂNG CAO CHẤT LƯỢNG
NCCVCM	NGƯỜI CÓ CÔNG VỚI CÁCH MẠNG
NCD	NHẠC CỔ ĐIỂN
NCĐ	NHẠC CỔ ĐIỂN
NCĐĐ	NGHIÊN CỨU ĐÀ ĐIỂU
NCGCD	NHỮNG CÔ GÁI CHÂN DÀI
NCHS	NGHIÊN CỨU HẢI SẢN
NCKH	NGHIÊN CỨU KHOA HỌC
NCKHKT	NGHIÊN CỨU KHOA HỌC KỸ THUẬT
NCKT	NGÕ CHỢ KHÂM THIÊN
NCLTG	NHỮNG CHIẾC LÁ THỜI GIAN
NCM	NHẤT CHI MAI
NCQ	NGOÀI CHÍNH QUY
NCQLKT	NGHIÊN CỨU QUẢN LÝ KINH TẾ
NCT	NGƯỜI CAO TUỔI
NCTNCN	NGHIÊN CỨU TIỀM NĂNG CON NGƯỜI
NCTT	NGHIÊN CỨU THỊ TRƯỜNG
NCUNLCC	NHÀ CUNG ỨNG NHÂN LỰC CAO CẤP
NCXH	NGHIÊN CỨU XÃ HỘI
NĐ	NGHỊ ĐỊNH
NĐCBVTS	NHỮNG ĐIỀU CẦN BIẾT VỀ TUYỂN SINH
NDCM	NHÂN DÂN CÁCH MẠNG
NĐD	NGÔ ĐÌNH DIỆM
NĐĐ	NGƯỜI ĐỨNG ĐẦU
NDGĐ	NHÂN DÂN GIA ĐỊNH
NĐK	NGƯỜI ĐIỀU KHIỂN
NĐL	NHIỆT ĐIỆN LẠNH
NĐM	NÔNG ĐỨC MẠNH
NDNB	NHIỆT ĐIỆN NINH BÌNH
NĐNB	NHIỆT ĐIỆN NINH BÌNH
NDND	NGHỆ SĨ NHÂN DÂN
NDOLA	NƠ ĐÔ LA
NĐT	NHÀ ĐẦU TƯ
NĐTB	NHIỆT ĐỘ TRUNG BÌNH
NDTC	NHÂN DÂN TỐI CAO
NĐTNN	NHÀ ĐẦU TƯ NƯỚC NGOÀI
NDTP	NHÂN DÂN THÀNH PHỐ
NĐTP	NGỘ ĐỘC THỰC PHẨM
NDTQ	NHÂN DÂN TỰ QUẢN
NĐTTN	NHÀ ĐẦU TƯ TRONG NƯỚC
NDTTS	NGƯỜI DÂN TỘC THIỂU SỐ
NDVN	NÔNG DÂN VIỆT NAM
NĐVN	NGƯỜI ĐẸP VIỆT NAM
NEANDERTHAL	NÊ AN ĐÉC TAN
NEBRASKA	NÊ BỜ RÁT CA
NECKAR	NÉC CA
NECTANEBO	NÉT TAN NÊ BÔ
NEDERLAND	NÊ ĐƠ LEN
NEDVED	NÉT VÉT
NEEL	NÊ EN
NEFUD	NÊ PHÚT
NEGINA	NÊ GHI NA
NEGRO	NÊ GỜ RÔ
NEGROS	NÊ GỜ RỐT
NEHRU	NÊ RU
NEIAFU	NÊ I A PHU
NEIMAN	NÂY MƠN
NEIMENG	NÂY MENG
NEISSE	NAI XƠ
NELLY	NE LY
NELSON	NEN SÂN
NEMAN	NÊ MAN
NEMIROVICH	NÊ MI RÔ VÍCH
NEMUNAS	NÊ MU NÁT
NEPAL	NÊ BAN
NERNST	NÊ RƠN XỜ TƠ
NERO	NÊ RÔ
NERUDA	NÊ RU ĐA
NERVI	NÉC VI
NESEBY	NÉT SỜ BAI
NESSLER	NÉT LƠ
NESTA	NÉT TA
NESTLE	NÉT LÂY
NET	NÉT
NETMODE	NÉT MỐT
NETNAM	NÉT NAM
NETO	NÊ TÔ
NETWORK	NÉT QUỢT
NETZAHUALCOYOTL	NÊ XA HU AN COI ỐT
NEUMANN	NIU MAN
NEUSIEDLER	NOI DÍT LƠ
NEVA	NÊ VA
NEVADA	NE VA ĐA
NEVADO	NÊ VA ĐÔ
NEVANLINNA	NE VAN LIN NA
NEVE	NÊ VI
NEVERLAND	NE VƠ LEN
NEVILLE	NE VIN
NEVIS	NÊ VÍT
NEVSKIJ	NÉP XỜ KI
NEW	NIU
NEWCASTLE	NIU CÁT SÔ
NEWLAND	NIU LEN
NEWMAN	NIU MAN
NEWPORT	NIU BÓT
NEWS	NIU
NEWSRU	NIU RU
NEWTON	NIU TƠN
NEWYORK	NIU GIÓT
NEY	NÂY
NG	NGỜ
NGH	NGỜ
NGND	NHÀ GIÁO NHÂN DÂN
NGOZI	NƠ GÔ GI
NGTT	NGƯỜI GIỚI THIỆU THUỐC
NH	NGÂN HÀNG
NHCP	NGÂN HÀNG CỔ PHẦN
NHCPTM	NGÂN HÀNG CỔ PHẦN THƯƠNG MẠI
NHCSXH	NGÂN HÀNG CHÍNH SÁCH XÃ HỘI
NHCSXHVN	NGÂN HÀNG CHÍNH SÁCH XÃ HỘI VIỆT NAM
NHCT	NGÂN HÀNG CÔNG THƯƠNG
NHCTVN	NGÂN HÀNG CÔNG THƯƠNG VIỆT NAM
NHD	NHA HỌC ĐƯỜNG
NHĐ	NHA HỌC ĐƯỜNG
NHDA	NGÂN HÀNG ĐÔNG Á
NHĐA	NGÂN HÀNG ĐÔNG Á
NHĐT	NGÂN HÀNG ĐỀ THI
NHG	NGÀN HẠC GIẤY
NHHH	NHÃN HIỆU HÀNG HÓA
NHKVN	NHÀ HÁT KỊCH VIỆT NAM
NHL	NGUYỄN HIẾN LÊ
NHLANGANO	NHƠ LAN GA NÔ
NHLD	NGÂN HÀNG LIÊN DOANH
NHM	NGƯỜI HÂM MỘ
NHNN	NGÂN HÀNG NHÀ NƯỚC
NHNNPTNT	NGÂN HÀNG NÔNG NGHIỆP PHÁT TRIỂN NÔNG THÔN
NHNNVN	NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
NHNT	NGÂN HÀNG NGOẠI THƯƠNG
NHPT	NGÂN HÀNG PHÁT TRIỂN
NHPTVN	NGÂN HÀNG PHÁT TRIỂN VIỆT NAM
NHQD	NGÂN HÀNG QUỐC DOANH
NHTG	NGÂN HÀNG THẾ GIỚI
NHTM	NGÂN HÀNG THƯƠNG MẠI
NHTMCP	NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN
NHTMNN	NGÂN HÀNG THƯƠNG MẠI NHÀ NƯỚC
NHTMQD	NGÂN HÀNG THƯƠNG MẠI QUỐC DOANH
NHTT	NHÀ HÁT TUỔI TRẺ
NHTTĐ	NĂM HÀNH TINH TRÁI ĐẤT
NHTƯ	NGÂN HÀNG TRUNG ƯƠNG
NHTW	NGÂN HÀNG TRUNG ƯƠNG
NHVN	NGÂN HÀNG VIỆT NAM
NHXN	NGÂN HÀNG XÁC NHẬN
NIAGARA	NI A GA RA
NIASSA	NI A XA
NICARAGUA	NI CA RA QUA
NICCOLO	NI CÔ LÔ
NICE	NAI
NICHOLAS	NI CÔ LÁT
NICK	NÍT
NICKERIE	NÍCH KE RI
NICKNAME	NÍT NÊM
NICKY	NÍCH KY
NICOBAR	NI CÔ BA
NICOL	NI CON
NICOLAAS	NI CÔ LÁT
NICOLAS	NI CÔ LÁT
NICOLAUS	NI CÔ LA ÚT
NICOLE	NI CÔN
NICOSTHENES	NI CỐT TÊ NÉT
NIEBUHR	NI BUA
NIEDERE	NI ĐÊ RƠ
NIEPCE	NI ÉP XƠ
NIETZSCHE	NÍT SƠ
NIGERIA	NI GIÊ RI A
NIGHT	NAI
NIHAT	NI HÁT
NIHON	NI HON
NIIGATA	NI I GA TA
NIKE	NAI
NIKI	NI KI
NIKKEI	NÍT KI
NIKOLAEVSK	NI CÔ LA ÉP XỜ CƠ
NIKOLAI	NI CÔ LAI
NIKOLAJ	NI CÔ LAI
NIL	NIN
NILE	NIN
NILON	NI LÔNG
NIMES	NI MƠ
NINA	NI NA
NINEVEH	NI NÊ VE
NINIGI	NI NI GI
NINIVE	NI NI VƠ
NINO	NI NÔ
NIPKOW	NÍP CỐP
NIPPON	NÍP BÔNG
NIRARI	NI RA RI
NISSAN	NÍT SAN
NISTELROOY	NÍT TƠ ROI
NIUE	NIU Ê
NIX	NÍT
NIXON	NÍCH XƠN
NJARIS	NI A RÍT
NK	NHẬP KHẨU
NKAYI	NƠ CAY
NKBV	NHIỄM KHUẨN BỆNH VIỆN
NKĐT	NHIỄM KHUẨN ĐƯỜNG TIỂU
NKHHCT	NHIỄM KHUẨN HÔ HẤP CẤP TÍNH
NKKN	NAM KỲ KHỞI NGHĨA
NKOMO	NƠ CÔ MÔ
NKRUMAH	NƠ CỜ RU MA
NKTS	NHẬT KÍ TÂM SỰ
NKX	NHẬT KÝ XƯA
NKXD	NHẬP KHẨU XĂNG DẦU
NLCX	NĂNG LƯỢNG CẢM XẠ
NLCXH	NĂNG LƯỢNG CẢM XẠ HỌC
NLD	NGƯỜI LAO ĐỘNG
NLĐ	NGƯỜI LAO ĐỘNG
NLĐCTN	NGƯỜI LAO ĐỘNG CHƯA THÀNH NIÊN
NLĐVN	NGƯỜI LAO ĐỘNG VIỆT NAM
NLGMN	NGUYÊN LIỆU GIẤY MIỀN NAM
NLMT	NĂNG LƯỢNG MẶT TRỜI
NLN	NÔNG LÂM NGHIỆP
NLNT	NĂNG LƯƠNG NGUYÊN TỬ
NLNTVN	NĂNG LƯỢNG NGUYÊN TỬ VIỆT NAM
NLSH	NHIÊN LIỆU SINH HỌC
NLTQD	NÔNG LÂM TRƯỜNG QUỐC DOANH
NLTS	NGUỒN LỢI THỦY SẢN
NLTT	NĂNG LƯỢNG TÁI TẠO
NLVN	NHÂN LỰC VIỆT NAM
NM	NHÀ MÁY
NMC	NGƯỜI CÁCH MẠNG
NMCBMCS	NHÀ MÁY CHẾ BIẾN MỦ CAO SU
NMCBTS	NHÀ MÁY CHẾ BIẾN THUỶ SẢN
NMCT	NHỒI MÁU CƠ TIM
NMD	NHÀ MÁY ĐƯỜNG
NMĐ	NHÀ MÁY ĐƯỜNG
NMĐCR	NHÀ MÁY ĐƯỜNG CAM RANH
NMDMK	NHÀ MÁY DỆT MINH KHAI
NMĐNT	NHÀ MÁY ĐIỆN NGUYÊN TỬ
NMĐQN	NHÀ MÁY ĐƯỜNG QUẢNG NAM
NMĐT	NHÀ MÁY ĐÓNG TÀU
NMITQG	NHÀ MÁY IN TIỀN QUỐC GIA
NMLD	NHÀ MÁY LỌC DẦU
NMLDDQ	NHÀ MÁY LỌC DẦU DUNG QUẤT
NMN	NHÀ MÁY NƯỚC
NMNĐ	NHÀ MÁY NHIỆT ĐIỆN
NMNTH	NHÀ MÁY NƯỚC TÂN HIỆP
NMPLHR	NHÀ MÁY PHÂN LÂN HÀM RỒNG
NMTĐ	NHÀ MÁY THUỶ ĐIỆN
NMTH	NHÀ MÁY TÂN HIỆP
NMTL	NGƯỜI MỸ TRẦM LẶNG
NMXLNT	NHÀ MÁY XỬ LÝ NƯỚC THẢI
NMXLNTTT	NHÀ MÁY XỬ LÝ NƯỚC THẢI TẬP TRUNG
NMXLR	NHÀ MÁY XỬ LÝ RÁC
NMXM	NHÀ MÁY XI MĂNG
NMXXTB	NHÀ MÁY XAY XÁT THÁI BÌNH
NNB	NHỮNG NGƯỜI BẠN
NNBA	NGÔI NHÀ BÍ ẨN
NNC	NHÀ NGUYÊN CĂN
NNCĐDC	NẠN NHÂN CHẤT ĐỘC DA CAM
NNCĐMDC	NẠN NHÂN CHẤT ĐỘC MÀU DA CAM
NNCT	NGÔN NGỮ CƠ THỂ
NNDC	NẠN NHÂN DA CAM
NNĐC	NÔNG NGHIỆP ĐỊA CHÍNH
NNĐP	NHÀ NƯỚC ĐỊA PHƯƠNG
NNĐTVV	NHỮNG NGƯỜI ĐỘC THÂN VUI VẺ
NNKTC	NÔNG NGHIỆP KỸ THUẬT CAO
NNNT	NGÀNH NGHỀ NÔNG THÔN
NNPL	NHÀ NƯỚC PHÁP LUẬT
NNPT	NÔNG NGHIỆP PHÁT TRIỂN
NNPTNT	NÔNG NGHIỆP PHÁT TRIỂN NÔNG THÔN
NNTƯ	NÔNG NGHIỆP TRUNG ƯƠNG
NNVN	NÔNG NGHIỆP VIỆT NAM
NOAMI	NÔ A MI
NOBEL	NÔ BEN
NOCV	NHÀ Ở CÔNG VỤ
NOGIER	NÔ GIÊ
NOGUCHI	NÔ GU CHI
NOKIA	NO CI A
NOLDE	NÔN ĐƠ
NOME	NÔ MƠ
NONGHED	NON HÉT
NONI	NO NI
NONO	NÔ NÔ
NONTHABURI	NON THA BU RI
NOORT	NOÓC TƠ
NORAH	NÔ RA
NORFOLK	NƠ PHÓC
NORGAY	NO GÂY
NORMANDIE	NOÓC MĂNG ĐI
NORODOM	NÔ RÔ ĐÔM
NORRISH	NÔ RÍT SỜ
NORTH	NÓT
NORWICH	NO QUÝT
NOSAVAN	NÔ XA VAN
NOTEBOOK	NỐT BÚT
NOTTINGHAM	NÓT TING HAM
NOU	NAO
NOUAKCHOTT	NAO ÁC SỐT
NOUHAK	NAO HẮC
NOURI	NÔ RI
NOUVO	NÔ VỒ
NOVERRE	NÔ VE
NOVGOROD	NỐP GÔ RỐT
NOVI	NÔ VI
NOVIKOV	NÔ VI CỐP
NOVO	NÔ VÔ
NOVONIKOLAEVSK	NÔ VÔ NI CÔ LA ÉP XỜ CƠ
NOVOROSSIJSK	NÔ VÔ RỐT XI XỜ CƠ
NOVOSIBIRSK	NÔ VÔ XI BIA XỜ CƠ
NOVOSTI	NÔ VỐT TÍT
NOXH	NHÀ Ở XÃ HỘI
NOYCE	NOI
NPP	NHÀ PHÂN PHỐI
NPTT	NGÂN PHIẾU THANH TOÁN
NPV	NHÓM PHÓNG VIÊN
NQA	NGÔ QUỲNH ANH
NQD	NGOÀI QUỐC DOANH
NQĐH	NGHỊ QUYẾT ĐẠI HỘI
NQH	NGÔ QUANG HƯNG
NQL	NHÀ QUẢN LÝ
NQLG	NHÀ QUẢN LÝ GIỎI
NQLT	NGHỊ QUYẾT LIÊN TỊCH
NQTM	NHƯỢNG QUYỀN THƯƠNG MẠI
NQTƯ	NGHỊ QUYẾT TRUNG ƯƠNG
NS	NHẠC SĨ
NSDLD	NGƯỜI SỬ DỤNG LAO ĐỘNG
NSDLĐ	NGƯỜI SỬ DỤNG LAO ĐỘNG
NSĐP	NGÂN SÁCH ĐỊA PHƯƠNG
NSLĐ	NĂNG SUẤT LAO ĐỘNG
NSNA	NGHỆ SĨ NHIẾP ẢNH
NSNAVN	NGHỆ SĨ NHIẾP ẢNH VIỆT NAM
NSND	NGHỆ SĨ NHÂN DÂN
NSNN	NGÂN SÁCH NHÀ NƯỚC
NSSK	NGHỆ SĨ SÂN KHẤU
NSSKVN	NGHỆ SĨ SÂN KHẤU VIỆT NAM
NSTP	NÔNG SẢN THỰC PHẨM
NSTTN	NHÀ SƯU TẬP TƯ NHÂN
NSUT	NGHỆ SĨ ƯU TÚ
NSƯT	NGHỆ SĨ ƯU TÚ
NSVHCN	NẾP SỐNG VĂN HÓA CÔNG NGHIỆP
NSVMĐT	NẾP SỐNG VĂN MINH ĐÔ THỊ
NSVN	NGUYỆT SAN VIỆT NAM
NSVSMT	NƯỚC SẠCH VỆ SINH MÔI TRƯỜNG
NSX	NHÀ SẢN XUẤT
NTBD	NGHỆ THUẬT BIỂU DIỄN
NTBV	NHÀ THUỐC BỆNH VIỆN
NTD	NGƯỜI TIÊU DÙNG
NTĐ	NHÀ THI ĐẤU
NTĐĐ	NGHỆ THUẬT ĐƯƠNG ĐẠI
NTDM	NHIỄM TRÙNG ĐƯỜNG MẬT
NTĐYGT	NHÀ THUỐC ĐÔNG Y GIA TRUYỀN
NTGT	NHÀ THUỐC GIA TRUYỀN
NTHH	NGUYÊN TỐ HÓA HỌC
NTHM	NGUYỄN THỊ HỒNG MINH
NTK	NHÀ THIẾT KẾ
NTKN	NGỪNG THỞ KHI NGỦ
NTKTT	NHÀ THIẾT KẾ THỜI TRANG
NTLS	NGHĨA TRANG LIỆT SĨ
NTLSTP	NGHĨA TRANG LIỆT SĨ THÀNH PHỐ
NTMK	NGUYỄN THỊ MINH KHAI
NTNN	NHÀ THẦU NƯỚC NGOÀI
NTQĐ	NGHĨA TRANG QUÂN ĐỘI
NTTC	NUÔI TÔM TRÊN CÁT
NTTS	NUÔI TRỒNG THỦY SẢN
NTV	NGUYỄN THÀNH VINH
NTVN	NGOẠI THƯƠNG VIỆT NAM
NTVT	NGƯỜI TỐT VIỆT TỐT
NUBIE	NU BI
NUDE	NÚT
NUKUALOFA	NU CUA LÔ PHA
NUKUNONO	NU CU NÔ NÔ
NUKUS	NU CÚT
NUMIDIE	NU MI ĐI
NUMLOCK	NÂM LỐC
NUNO	NU NÔ
NUREMBERG	NU REM BỚT
NUTIFOOD	NU TI PHÚT
NV	NHÂN VĂN
NVBĐD	NHIỆM VỤ BẤT ĐẮC DĨ
NVCA	NHÀ VĂN CÔNG AN
NVGC	NHÂN VIÊN GÁC CHẮN
NVH	NHÀ VĂN HÓA
NVHC	NHÂN VIÊN HÀNH CHÍNH
NVHCC	NGHIỆP VỤ HÀNH CHÍNH CÔNG
NVHLĐ	NHÀ VĂN HOÁ LAO ĐỘNG
NVHN	NHÀ VĂN HOÀI NAM
NVHTN	NHÀ VĂN HÓA THANH NIÊN
NVK	NGUYỄN VIẾT KHÁNH
NVKD	NHÂN VIÊN KINH DOANH
NVKVN	NHẠC VŨ KỊCH VIỆT NAM
NVL	NGUYÊN VẬT LIÊU
NVN	NGƯỜI VIỆT NAM
NVNONN	NGƯỜI VIỆT NAM Ở NƯỚC NGOÀI
NVPH	NHÂN VIÊN PHI HÀNH
NVQG	NGƯỜI VIỆT QUỐC GIA
NVQL	NHÂN VIÊN QUẢN LÝ
NVQS	NGHĨA VỤ QUÂN SỰ
NVS	NHÀ VỆ SINH
NVSCC	NHÀ VỆ SINH CÔNG CỘNG
NVTV	NHÂN VIÊN TƯ VẤN
NVTVBS	NHÂN VIÊN TƯ VẤN BỔ SUNG
NVVN	NGƯỜI VIỆT VỀ NGUỒN
NVX	NGUYỄN VIẾT XUÂN
NXB	NHÀ XUẤT BẢN
NXBCTQG	NHÀ XUẤT BẢN CHÍNH TRỊ QUỐC GIA
NXBGD	NHÀ XUẤT BẢN GIÁO DỤC
NXBT	NHÀ XUẤT BẢN TRẺ
NXBTN	NHÀ XUẤT BẢN THANH NIÊN
NXDKP	NẠN XÂY DỰNG KHÔNG PHÉP
NXK	NGUYỄN XUÂN KÍNH
NXN	NGƯỜI XỨ NGHỆ
NYALA	NI A LA
NYASA	NY A XA
NYG	NIÊM YẾT GIÁ
NYQUIST	NAI QUÝT
OBAMA	Ô BA MA
OBETO	Ô BÊ TÔ
OCEAN	ỐC SẦN
OCTAVIANUS	ÓC TA VI A NÚT
OCTAVIUS	ÓC TA VI ÚT
ODENSE	Ô ĐEN XÊ
OFFLINE	ỐP LAI
OGDEN	ÓC ĐƠN
OHIO	Ô HAI Ô
OIL	OI
OKAZAKI	Ô KA GIA KI
OKINAWA	Ô CI NA QUA
OKLAHOMA	ỐC LA HÔ MA
OLDENBURG	ÔN ĐEN BỚT
OLIMPICO	Ô LIM BI CÔ
OLIU	Ô LIU
OLIVE	Ô LI VƠ
OLIVEIRA	O LI VÊ RA
OLIVER	Ô LI VƠ
OLIVERA	O LI VE RA
OLIVIER	Ô LI VI Ơ
OLMERT	ÔN MỚT
OLMET	ÔN MỚT
OLYMPIA	Ô LIM BI A
OLYMPIAKOS	Ô LIM BI A CỐT
OLYMPIC	Ô LIM BÍCH
OLYMPICO	Ô LIM BI CÔ
OLYMPICS	Ô LIM BÍCH
OMA	Ô MA
OMAIO	Ô MAI Ô
OMAN	Ô MAN
OMANIA	Ô MA NI A
OMAR	Ô MA
OMBAI	OM BAI
OMOLOJ	Ô MÔ LOI
ONGBAH	ONG BA
ONGOLE	ON GÔN
ONKQ	ỐNG NỘI KHÍ QUẢN
ONLINE	ON LAI
ONNES	ON NÉT
OPEC	Ô BÁCH
OPEN	ÂU BẦN
OPPENHEIM	Ô BEN HEM
ORACLE	Ô RÂY CỒ
ORANGE	O RẦN
ORBIGNY	OÓC BI NHI
ORDOS	OÓC ĐÓT
ORG	O RỜ GỜ
ORKHON	OÓC KHÔN
ORLANDO	ÓT LAN ĐÔ
ORLEANS	ÓT LIN
ORLOJ	OÓC LỐP
ORMANDY	OÓC MĂNG ĐI
ORMUZD	OÓC MÚT
OSAKA	Ô SA CA
OSAMA	Ô SA MA
OSASUNA	Ô SA SU NA
OSCAR	ỐT CA
OSENBOG	Ô SEN BÓT
OSHIN	Ô SIN
OSIN	Ô SIN
ÔSIN	Ô SIN
OSLO	ÓT LÔ
OSMAN	ỐT MEN
ÔTÔ	Ô TÔ
OTTAWA	ÓT TA QUA
OTTO	ÓT TÔ
OTV	ÔN TIỂU VÂN
OUNCE	AO
OUTLOOK	AO LÚC
OUZEN	Ô GIAN
OWEN	Ô QUEN
OXFAM	ỐC PHAM
OXFORD	ỐC PHO
OXIT	Ô XÍT
ÔXTRÂYLIA	ỐT TRÂY LI A
OXY	Ô XY
ÔXY	Ô XY
OZONE	Ô DÔN
P	PÊ
PABLO	BÁP LÔ
PABT	PHƯƠNG ÁN BỒI THƯỜNG
PACIFIC	BA XI PHÍCH
PADANG	BA ĐANG
PAĐM	PHƯƠNG ÁN ĐỔI MỚI
PADOVA	BA ĐÔ VA
PAEROA	BÊ RÔ A
PAGAN	BA GAN
PAGANINI	BA GA NI NI
PAGEDOWN	PÂY ĐAO
PAGEUP	PÂY ÚP
PAGO	BA GÔ
PAHANG	BA HANG
PAHLAVI	BA LA VI
PAILIN	BAI LIN
PAIMIO	BAI MI Ô
PAIVA	BAI VA
PAJOT	BA GIÓT
PAK	BẮC
PAKISTAN	BA KÍT TĂNG
PAKSE	BẮC XÊ
PALACE	BA LÁCH
PALADE	BA LÁT
PALAU	BA LAU
PALAWAN	BA LA QUAN
PALEMBANG	BA LEM BANG
PALEMO	BA LE MÔ
PALERMO	BA LÉT MÔ
PALESTIN	BA LÉT TIN
PALESTINE	BA LÉT TIN
PALESTRINA	BA LÉT TRI NA
PALIKIR	BA LI KI A
PALLADIO	BA LA ĐI Ô
PALLU	BA LUY
PALM	BAM
PAMELA	BA ME LA
PAMIR	BA MIA
PAMPA	BAM BA
PAMPANA	BAM BA NA
PAMUK	BA MÚT
PANAMA	BA NA MA
PANASONIC	BA NA SÔ NÍT
PANATHINAIKOS	BA NA THI NAI CỐT
PANAY	BA NÂY
PANCA	BAN CA
PANDIANI	BAN DI A NI
PANE	BA NÊ
PANOFSKY	BA NỐP XỜ KI
PANTANAL	BAN TA NAN
PANUCCI	BA NU XI
PAOLO	BAO LÔ
PAPAAZZI	BA BA RA DI
PAPARAZZI	BA BA RA DI
PAPUA	BA BU A
PARACELSUS	BA RA XEN XÚT
PARACETAMOL	BA RA XÊ TA MON
PARADISE	BA RA ĐAI
PARAGUAY	BA RA QUAY
PARAIBA	BA RAI BA
PARAKOU	BA RA KU
PARAMARIBO	PA RA MA RI BÔ
PARAMOUNT	BA RA MAO
PARANA	BA RA NA
PARC	BÁC
PARDO	BÁC ĐÔ
PARETO	BA RÊ TÔ
PARINI	BA RI NI
PARIS	BA RI
PARKER	BÂY KHƠ
PARKINSON	BA CIN SÂN
PARMA	BẠT MA
PARMENTIER	BÁC MĂNG CHI Ê
PARNASSE	BÁC NA XƠ
PAROPAMISUS	BA RÔ BA MI SÚT
PARREIRA	BA RÊ RA
PARSEVAL	BA XÊ VAN
PARSONS	BA XƠN
PARTHENON	BÁC TÊ NÔNG
PARTHIA	BÁC THI A
PARTY	BẠT TY
PASCAL	BÁT CAN
PASCOLI	BÁT CÔ LI
PASCUA	BÁT CU A
PASSWORD	BÁT QUỢT
PASTERNAK	BÁT TÉC NÁC
PASTEUR	BÁT TƠ
PATAGONIA	BA TA GÔ NI A
PATANI	BA TA NI
PATER	BA TƠ
PATESI	PA TÊ XI
PATHET	BA THÉT
PATJITAN	BÁT GI TAN
PATNA	BÁT NA
PATRICK	BA TRÍT
PAUL	BAO LƠ
PAULETA	BAU LÉT TA
PAULI	BAO LI
PAULING	BAO LINH
PAULO	BAO LÔ
PAULUS	BAO LÚT
PAUSE	PAU
PAUSTOVSKIJ	BAO TỐP XỜ KI
PAVEL	BA VEN
PAVESE	BA VÊ SÊ
PAVIA	BA VI A
PAVIE	BA VI
PAVLOV	BÁP LỐP
PAVLOVA	BÁP LÔ VA
PAVLOVSK	BÁP LỐP XỜ CƠ
PAXTON	BÁC XỜ TƠN
PAYPAL	BAY BÔN
PB	PAO
PBGDPL	PHỔ BIẾN GIÁO DỤC PHÁP LUẬT
PBK	PHỐ BÁCH KHOA
PBT	PHÓ BÍ THƯ
PBTL	PHỦ BIÊN TẠP LỤC
PBTTU	PHÓ BÍ THƯ THÀNH UỶ
PBVH	PHÊ BÌNH VĂN HỌC
PC	PHÒNG CHỐNG
PCBD	PHÒNG CHỐNG BỆNH DẠI
PCBL	PHÒNG CHỐNG BÃO LỤT
PCCC	PHÒNG CHÁY CHỮA CHÁY
